SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
296,Michelia mediocris,NA,Michelia,2,Michelia mediocris,Dandy,Michelia,2,kew-126758,1,FALSE,0.8,0,NA,NA,NA,NA,Magnoliaceae,NA,Michelia mediocris,
152,Micrandra spruceana,NA,Micrandra,2,Micrandra spruceana,(Baill.) R.E.Schult.,Micrandra,2,kew-126866,1,FALSE,0.8,0,NA,NA,NA,NA,Euphorbiaceae,NA,Micrandra spruceana,
302,Microberlinia bisulcata,NA,Microberlinia,2,Microberlinia bisulcata,A.Chev.,Microberlinia,2,ild-1599,1,FALSE,0.8,0,NA,NA,NA,NA,Leguminosae,NA,Microberlinia bisulcata,
574,Micropholis crassipedicellata,NA,Micropholis,2,Micropholis crassipedicellata,(Mart. & Eichler ex Miq.) Pierre,Micropholis,2,kew-127524,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Micropholis crassipedicellata,
575,Micropholis gnaphaloclados,NA,Micropholis,2,Micropholis gnaphaloclados,(Mart.) Pierre,Micropholis,2,kew-127541,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Micropholis gnaphaloclados,
153,Micropholis guyanensis,NA,Micropholis,2,Micropholis guyanensis,(A.DC.) Pierre,Micropholis,2,kew-127544,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Micropholis guyanensis,
154,Micropholis venulosa,NA,Micropholis,2,Micropholis venulosa,(Mart. & Eichler ex Miq.) Pierre,Micropholis,2,kew-127590,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Micropholis venulosa,
519,Milicia excelsa,NA,Milicia,2,Milicia excelsa,(Welw.) C.C.Berg,Milicia,2,kew-2501387,1,FALSE,0.8,0,NA,NA,NA,NA,Moraceae,NA,Milicia excelsa,
24,Mimusops bagshawei,NA,Mimusops,2,Mimusops bagshawei,S.Moore,Mimusops,2,kew-128387,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Mimusops bagshawei,
576,Mimusops elengi,NA,Mimusops,2,Mimusops elengi,Bojer,Mimusops,2,kew-128460,1,FALSE,0.8,0,NA,NA,NA,NA,Sapotaceae,NA,Mimusops elengi,Multiple results
